health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Mongbalu,410,64,346,21,88,159147,257.6,2,2026-06-04,INSP SitRep via INRB-UMIE
Bunia,391,123,268,11,57,715169,54.7,10,2026-06-04,INSP SitRep via INRB-UMIE
Rwampara,327,86,241,18,71,61295,533.5,0,2026-06-04,INSP SitRep via INRB-UMIE
NA,94,94,0,10,0,0,,0,2026-06-04,INSP SitRep via INRB-UMIE
Nyakunde,74,22,52,1,12,94513,78.3,2,2026-06-04,INSP SitRep via INRB-UMIE
Katwa,24,11,13,7,0,621981,3.9,0,2026-06-04,INSP SitRep via INRB-UMIE
Bambu,19,5,14,2,3,142110,13.4,0,2026-06-04,INSP SitRep via INRB-UMIE
Kalunguta,14,1,13,1,0,254340,5.5,0,2026-06-04,INSP SitRep via INRB-UMIE
Butembo,11,4,7,2,0,286962,3.8,2,2026-06-04,INSP SitRep via INRB-UMIE
Kilo,11,3,8,1,2,38314,28.7,0,2026-06-04,INSP SitRep via INRB-UMIE
Nizi,11,5,6,0,2,146119,7.5,0,2026-06-04,INSP SitRep via INRB-UMIE
Aru,7,3,4,1,1,307811,2.3,2,2026-06-04,INSP SitRep via INRB-UMIE
Beni,5,5,0,3,0,231984,2.2,2,2026-06-04,INSP SitRep via INRB-UMIE
Damas,4,3,1,0,0,88590,4.5,0,2026-06-04,INSP SitRep via INRB-UMIE
Gethy,4,1,3,0,0,171770,2.3,0,2026-06-04,INSP SitRep via INRB-UMIE
Komanda,3,3,0,0,0,222355,1.3,1,2026-06-04,INSP SitRep via INRB-UMIE
Lita,3,3,0,0,0,91650,3.3,0,2026-06-04,INSP SitRep via INRB-UMIE
Rimba,3,3,0,0,0,174926,1.7,1,2026-06-04,INSP SitRep via INRB-UMIE
Jiba,2,0,2,0,0,71960,2.8,1,2026-06-04,INSP SitRep via INRB-UMIE
Logo,2,2,0,0,0,154126,1.3,0,2026-06-04,INSP SitRep via INRB-UMIE
Mambasa,2,2,0,1,0,164109,1.2,0,2026-06-04,INSP SitRep via INRB-UMIE
Miti-Murhesa,2,1,1,1,0,265959,0.8,0,2026-06-04,INSP SitRep via INRB-UMIE
Oicha,2,2,0,2,0,276791,0.7,0,2026-06-04,INSP SitRep via INRB-UMIE
Aungba,1,1,0,0,0,229697,0.4,0,2026-06-04,INSP SitRep via INRB-UMIE
Goma,1,1,0,0,0,277156,0.4,2,2026-06-04,INSP SitRep via INRB-UMIE
Kyondo,1,1,0,0,0,493964,0.2,0,2026-06-04,INSP SitRep via INRB-UMIE
Mangala,1,1,0,0,0,82616,1.2,1,2026-06-04,INSP SitRep via INRB-UMIE
Fataki,0,0,0,0,0,150055,,1,2026-06-04,INSP SitRep via INRB-UMIE
Karisimbi,0,0,0,0,0,583594,,0,2026-06-04,INSP SitRep via INRB-UMIE
Manguredjipa,0,0,0,0,0,60156,,0,2026-06-04,INSP SitRep via INRB-UMIE
