health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,751,483,268,137,57,715169,105.0,10,2026-07-07,INSP SitRep via INRB-UMIE
Mongbalu,656,310,346,165,88,159147,412.2,2,2026-07-07,INSP SitRep via INRB-UMIE
Rwampara,605,364,241,76,71,61295,987.0,0,2026-07-07,INSP SitRep via INRB-UMIE
Nyakunde,149,97,52,20,12,94513,157.7,2,2026-07-07,INSP SitRep via INRB-UMIE
Nizi,100,94,6,28,2,146119,68.4,0,2026-07-07,INSP SitRep via INRB-UMIE
Katwa,74,61,13,41,0,621981,11.9,0,2026-07-07,INSP SitRep via INRB-UMIE
Butembo,49,42,7,20,0,286962,17.1,2,2026-07-07,INSP SitRep via INRB-UMIE
Bambu,42,28,14,9,3,142110,29.6,0,2026-07-07,INSP SitRep via INRB-UMIE
Lita,40,40,0,16,0,91650,43.6,0,2026-07-07,INSP SitRep via INRB-UMIE
Mangala,40,40,0,20,0,82616,48.4,1,2026-07-07,INSP SitRep via INRB-UMIE
Nia-Nia,35,35,0,13,0,85262,41.0,0,2026-07-07,INSP SitRep via INRB-UMIE
Beni,29,29,0,19,0,231984,12.5,2,2026-07-07,INSP SitRep via INRB-UMIE
Komanda,23,23,0,8,0,222355,10.3,1,2026-07-07,INSP SitRep via INRB-UMIE
Kilo,17,9,8,1,2,38314,44.4,0,2026-07-07,INSP SitRep via INRB-UMIE
NA,17,17,0,0,0,0,,0,2026-07-07,INSP SitRep via INRB-UMIE
Kalunguta,15,2,13,1,0,254340,5.9,0,2026-07-07,INSP SitRep via INRB-UMIE
Tchomia,15,15,0,2,0,64496,23.3,1,2026-07-07,INSP SitRep via INRB-UMIE
Musienene,8,8,0,2,0,234680,3.4,0,2026-07-07,INSP SitRep via INRB-UMIE
Aru,7,3,4,1,1,307811,2.3,2,2026-07-07,INSP SitRep via INRB-UMIE
Logo,7,7,0,0,0,154126,4.5,0,2026-07-07,INSP SitRep via INRB-UMIE
Aungba,6,6,0,2,0,229697,2.6,0,2026-07-07,INSP SitRep via INRB-UMIE
Damas,6,5,1,0,0,88590,6.8,0,2026-07-07,INSP SitRep via INRB-UMIE
Mandima,5,5,0,2,0,274950,1.8,0,2026-07-07,INSP SitRep via INRB-UMIE
Fataki,4,4,0,1,0,150055,2.7,1,2026-07-07,INSP SitRep via INRB-UMIE
Gethy,4,1,3,0,0,171770,2.3,0,2026-07-07,INSP SitRep via INRB-UMIE
Kyondo,4,4,0,2,0,493964,0.8,0,2026-07-07,INSP SitRep via INRB-UMIE
Mambasa,4,4,0,3,0,164109,2.4,0,2026-07-07,INSP SitRep via INRB-UMIE
Miti-Murhesa,4,3,1,1,0,265959,1.5,0,2026-07-07,INSP SitRep via INRB-UMIE
Rimba,4,4,0,0,0,174926,2.3,1,2026-07-07,INSP SitRep via INRB-UMIE
Drodro,3,3,0,3,0,210812,1.4,1,2026-07-07,INSP SitRep via INRB-UMIE
Masereka,3,3,0,0,0,145642,2.1,0,2026-07-07,INSP SitRep via INRB-UMIE
Oicha,3,3,0,2,0,276791,1.1,0,2026-07-07,INSP SitRep via INRB-UMIE
Jiba,2,0,2,0,0,71960,2.8,1,2026-07-07,INSP SitRep via INRB-UMIE
Kambala,2,2,0,2,0,132028,1.5,1,2026-07-07,INSP SitRep via INRB-UMIE
Boga,1,1,0,1,0,73524,1.4,1,2026-07-07,INSP SitRep via INRB-UMIE
Goma,1,1,0,0,0,277156,0.4,2,2026-07-07,INSP SitRep via INRB-UMIE
Lolwa,1,1,0,1,0,37145,2.7,0,2026-07-07,INSP SitRep via INRB-UMIE
Mabalako,1,1,0,0,0,253373,0.4,0,2026-07-07,INSP SitRep via INRB-UMIE
Vuhovi,1,1,0,1,0,256878,0.4,0,2026-07-07,INSP SitRep via INRB-UMIE
Karisimbi,0,0,0,0,0,583594,,0,2026-07-07,INSP SitRep via INRB-UMIE
Manguredjipa,0,0,0,0,0,60156,,0,2026-07-07,INSP SitRep via INRB-UMIE
