health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,694,426,268,106,57,715169,97.0,10,2026-07-02,INSP SitRep via INRB-UMIE
Mongbalu,619,273,346,136,88,159147,388.9,2,2026-07-02,INSP SitRep via INRB-UMIE
Rwampara,563,322,241,67,71,61295,918.5,0,2026-07-02,INSP SitRep via INRB-UMIE
Nyakunde,147,95,52,16,12,94513,155.5,2,2026-07-02,INSP SitRep via INRB-UMIE
Nizi,71,65,6,19,2,146119,48.6,0,2026-07-02,INSP SitRep via INRB-UMIE
Katwa,64,51,13,35,0,621981,10.3,0,2026-07-02,INSP SitRep via INRB-UMIE
Butembo,45,38,7,16,0,286962,15.7,2,2026-07-02,INSP SitRep via INRB-UMIE
Lita,33,33,0,12,0,91650,36.0,0,2026-07-02,INSP SitRep via INRB-UMIE
Bambu,32,18,14,5,3,142110,22.5,0,2026-07-02,INSP SitRep via INRB-UMIE
Beni,28,28,0,16,0,231984,12.1,2,2026-07-02,INSP SitRep via INRB-UMIE
Mangala,24,24,0,12,0,82616,29.1,1,2026-07-02,INSP SitRep via INRB-UMIE
Komanda,19,19,0,5,0,222355,8.5,1,2026-07-02,INSP SitRep via INRB-UMIE
Kilo,17,9,8,1,2,38314,44.4,0,2026-07-02,INSP SitRep via INRB-UMIE
NA,17,17,0,0,0,0,,0,2026-07-02,INSP SitRep via INRB-UMIE
Kalunguta,15,2,13,1,0,254340,5.9,0,2026-07-02,INSP SitRep via INRB-UMIE
Tchomia,15,15,0,2,0,64496,23.3,1,2026-07-02,INSP SitRep via INRB-UMIE
Nia-Nia,12,12,0,5,0,85262,14.1,0,2026-07-02,INSP SitRep via INRB-UMIE
Aru,7,3,4,1,1,307811,2.3,2,2026-07-02,INSP SitRep via INRB-UMIE
Logo,7,7,0,0,0,154126,4.5,0,2026-07-02,INSP SitRep via INRB-UMIE
Aungba,6,6,0,2,0,229697,2.6,0,2026-07-02,INSP SitRep via INRB-UMIE
Damas,6,5,1,0,0,88590,6.8,0,2026-07-02,INSP SitRep via INRB-UMIE
Gethy,4,1,3,0,0,171770,2.3,0,2026-07-02,INSP SitRep via INRB-UMIE
Mandima,4,4,0,1,0,274950,1.5,0,2026-07-02,INSP SitRep via INRB-UMIE
Miti-Murhesa,4,3,1,1,0,265959,1.5,0,2026-07-02,INSP SitRep via INRB-UMIE
Drodro,3,3,0,3,0,210812,1.4,1,2026-07-02,INSP SitRep via INRB-UMIE
Kyondo,3,3,0,2,0,493964,0.6,0,2026-07-02,INSP SitRep via INRB-UMIE
Musienene,3,3,0,2,0,234680,1.3,0,2026-07-02,INSP SitRep via INRB-UMIE
Oicha,3,3,0,2,0,276791,1.1,0,2026-07-02,INSP SitRep via INRB-UMIE
Rimba,3,3,0,0,0,174926,1.7,1,2026-07-02,INSP SitRep via INRB-UMIE
Goma,2,2,0,0,0,277156,0.7,2,2026-07-02,INSP SitRep via INRB-UMIE
Jiba,2,0,2,0,0,71960,2.8,1,2026-07-02,INSP SitRep via INRB-UMIE
Kambala,2,2,0,2,0,132028,1.5,1,2026-07-02,INSP SitRep via INRB-UMIE
Mambasa,2,2,0,1,0,164109,1.2,0,2026-07-02,INSP SitRep via INRB-UMIE
Fataki,1,1,0,0,0,150055,0.7,1,2026-07-02,INSP SitRep via INRB-UMIE
Lolwa,1,1,0,1,0,37145,2.7,0,2026-07-02,INSP SitRep via INRB-UMIE
Mabalako,1,1,0,0,0,253373,0.4,0,2026-07-02,INSP SitRep via INRB-UMIE
Masereka,1,1,0,0,0,145642,0.7,0,2026-07-02,INSP SitRep via INRB-UMIE
Vuhovi,1,1,0,1,0,256878,0.4,0,2026-07-02,INSP SitRep via INRB-UMIE
Karisimbi,0,0,0,0,0,583594,,0,2026-07-02,INSP SitRep via INRB-UMIE
Manguredjipa,0,0,0,0,0,60156,,0,2026-07-02,INSP SitRep via INRB-UMIE
