health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,1791,1523,268,476,57,509060,351.8,10,2026-09-08,INSP SitRep via INRB-UMIE
Rwampara,1240,999,241,348,71,252324,491.4,0,2026-09-08,INSP SitRep via INRB-UMIE
Mongbalu,986,640,346,293,88,157714,625.2,0,2026-09-08,INSP SitRep via INRB-UMIE
Nizi,729,723,6,273,2,129697,562.1,0,2026-09-08,INSP SitRep via INRB-UMIE
Katwa,490,477,13,305,0,612242,80.0,0,2026-09-08,INSP SitRep via INRB-UMIE
Mangala,297,297,0,141,0,89713,331.1,1,2026-09-08,INSP SitRep via INRB-UMIE
Lita,247,247,0,122,0,113364,217.9,0,2026-09-08,INSP SitRep via INRB-UMIE
Nia Nia,228,228,0,115,0,91756,248.5,0,2026-09-08,INSP SitRep via INRB-UMIE
Butembo,224,217,7,148,0,289378,77.4,2,2026-09-08,INSP SitRep via INRB-UMIE
Bambu,190,176,14,39,3,136151,139.6,0,2026-09-08,INSP SitRep via INRB-UMIE
Beni,185,185,0,138,0,428854,43.1,2,2026-09-08,INSP SitRep via INRB-UMIE
Nyakunde,177,125,52,36,12,94004,188.3,0,2026-09-08,INSP SitRep via INRB-UMIE
Komanda,118,118,0,80,0,219948,53.6,1,2026-09-08,INSP SitRep via INRB-UMIE
Musienene,101,101,0,55,0,348392,29.0,0,2026-09-08,INSP SitRep via INRB-UMIE
Isiro,92,92,0,37,0,512401,18.0,0,2026-09-08,INSP SitRep via INRB-UMIE
Wamba,86,86,0,31,0,224757,38.3,0,2026-09-08,INSP SitRep via INRB-UMIE
Fataki,78,78,0,30,0,158032,49.4,1,2026-09-08,INSP SitRep via INRB-UMIE
Tchomia,63,63,0,25,0,83917,75.1,1,2026-09-08,INSP SitRep via INRB-UMIE
Pawa,46,46,0,23,0,301768,15.2,0,2026-09-08,INSP SitRep via INRB-UMIE
Mandima,44,44,0,24,0,286637,15.4,0,2026-09-08,INSP SitRep via INRB-UMIE
Kilo,41,33,8,12,2,43139,95.0,0,2026-09-08,INSP SitRep via INRB-UMIE
Damas,33,32,1,9,0,94820,34.8,0,2026-09-08,INSP SitRep via INRB-UMIE
Kalunguta,33,20,13,9,0,191732,17.2,0,2026-09-08,INSP SitRep via INRB-UMIE
Boma Mangbetu,29,29,0,14,0,230104,12.6,0,2026-09-08,INSP SitRep via INRB-UMIE
Kyondo,25,25,0,17,0,270344,9.2,0,2026-09-08,INSP SitRep via INRB-UMIE
Lolwa,25,25,0,7,0,41314,60.5,0,2026-09-08,INSP SitRep via INRB-UMIE
Mambasa,17,17,0,7,0,150807,11.3,0,2026-09-08,INSP SitRep via INRB-UMIE
NA,17,17,0,0,0,0,,0,2026-09-08,INSP SitRep via INRB-UMIE
Drodro,15,15,0,7,0,199996,7.5,1,2026-09-08,INSP SitRep via INRB-UMIE
Masereka,15,15,0,6,0,298636,5.0,0,2026-09-08,INSP SitRep via INRB-UMIE
Logo,13,13,0,5,0,216944,6.0,0,2026-09-08,INSP SitRep via INRB-UMIE
Aru,12,8,4,6,1,329667,3.6,2,2026-09-08,INSP SitRep via INRB-UMIE
Aungba,12,12,0,5,0,216787,5.5,0,2026-09-08,INSP SitRep via INRB-UMIE
Adja,11,11,0,1,0,126933,8.7,0,2026-09-08,INSP SitRep via INRB-UMIE
Rimba,11,11,0,4,0,222282,4.9,1,2026-09-08,INSP SitRep via INRB-UMIE
Gety,10,7,3,3,0,143442,7.0,0,2026-09-08,INSP SitRep via INRB-UMIE
Mabalako,10,10,0,7,0,197136,5.1,0,2026-09-08,INSP SitRep via INRB-UMIE
Makiso Kisangani,10,10,0,5,0,535798,1.9,0,2026-09-08,INSP SitRep via INRB-UMIE
Vuhovi,10,10,0,5,0,151953,6.6,0,2026-09-08,INSP SitRep via INRB-UMIE
Biena,9,9,0,4,0,136159,6.6,0,2026-09-08,INSP SitRep via INRB-UMIE
Oicha,9,9,0,6,0,274998,3.3,0,2026-09-08,INSP SitRep via INRB-UMIE
Ariwara,8,8,0,2,0,314730,2.5,0,2026-09-08,INSP SitRep via INRB-UMIE
Lubero,7,7,0,4,0,377506,1.9,0,2026-09-08,INSP SitRep via INRB-UMIE
Bafwasende,4,4,0,0,0,132264,3.0,0,2026-09-08,INSP SitRep via INRB-UMIE
Kabondo,4,4,0,1,0,204629,2.0,0,2026-09-08,INSP SitRep via INRB-UMIE
Mahagi,4,4,0,1,0,247893,1.6,2,2026-09-08,INSP SitRep via INRB-UMIE
Manguredjipa,4,4,0,3,0,68014,5.9,0,2026-09-08,INSP SitRep via INRB-UMIE
Miti Murhesa,4,3,1,1,0,303983,1.3,0,2026-09-08,INSP SitRep via INRB-UMIE
Gombari,3,3,0,1,0,122901,2.4,0,2026-09-08,INSP SitRep via INRB-UMIE
Mangobo,3,3,0,2,0,188652,1.6,0,2026-09-08,INSP SitRep via INRB-UMIE
Boga,2,2,0,2,0,72028,2.8,1,2026-09-08,INSP SitRep via INRB-UMIE
Ganga,2,2,0,2,0,235401,0.8,0,2026-09-08,INSP SitRep via INRB-UMIE
Jiba,2,0,2,0,0,75957,2.6,1,2026-09-08,INSP SitRep via INRB-UMIE
Kambala,2,2,0,0,0,140956,1.4,1,2026-09-08,INSP SitRep via INRB-UMIE
Mutwanga,2,2,0,2,0,255278,0.8,0,2026-09-08,INSP SitRep via INRB-UMIE
Rungu,2,2,0,1,0,194804,1.0,0,2026-09-08,INSP SitRep via INRB-UMIE
Buta,1,1,0,1,0,274964,0.4,0,2026-09-08,INSP SitRep via INRB-UMIE
Goma,1,1,0,0,0,282838,0.4,2,2026-09-08,INSP SitRep via INRB-UMIE
Kayna,1,1,0,0,0,322628,0.3,0,2026-09-08,INSP SitRep via INRB-UMIE
Lubunga (Tshopo),1,1,0,0,0,154712,0.6,0,2026-09-08,INSP SitRep via INRB-UMIE
Tshopo,1,1,0,0,0,172885,0.6,0,2026-09-08,INSP SitRep via INRB-UMIE
Viadana,1,1,0,0,0,187873,0.5,0,2026-09-08,INSP SitRep via INRB-UMIE
Wanierukula,1,1,0,1,0,155297,0.6,0,2026-09-08,INSP SitRep via INRB-UMIE
Karisimbi,0,0,0,0,0,403401,,0,2026-09-08,INSP SitRep via INRB-UMIE
