date,confirmed,source,deaths,suspected,confirmed_cases,confirmed_deaths,suspected_cases,total_cases,suspected_deaths,total_deaths,_nd_fields,_adjustments,_flags,recovered
2026-05-14,8,INRB-UMIE upstream,4,246,8,4,246,254,,,['suspected_deaths'],[],[],
2026-05-17,13,INRB-UMIE upstream,4,246,13,4,246,259,,,['suspected_deaths'],[],[],
2026-05-18,33,INRB-UMIE upstream,4,516,33,4,516,549,,,[],[],[],
2026-05-19,51,INRB-UMIE upstream,4,575,51,4,575,626,,,[],[],[],
2026-05-20,64,INRB-UMIE upstream,6,671,64,6,671,735,,,[],[],[],
2026-05-21,83,INRB-UMIE upstream,9,746,83,9,746,829,,,[],[],[],
2026-05-22,91,INRB-UMIE upstream,10,867,91,10,867,958,,,['suspected_deaths'],[],[],
2026-05-23,101,INRB-UMIE upstream,10,904,101,10,904,1005,,,[],[],[],
2026-05-24,105,INRB-UMIE upstream,10,906,105,10,906,1011,,,[],[],[],
2026-05-25,106,INRB-UMIE upstream,12,998,106,12,998,1104,,,[],[],[],
2026-05-26,121,INRB-UMIE upstream,17,1077,121,17,1077,1198,,,[],[],[],
2026-05-27,125,INRB-UMIE upstream,17,906,125,17,906,1031,,,[],"[{'field': 'suspected_cases', 'from': 1077, 'to': 906, 'delta': -171, 'type': 'reclassification', 'date': '2026-05-27'}, {'field': 'total_cases', 'from': 1198, 'to': 1031, 'delta': -167, 'type': 'reclassification', 'date': '2026-05-27'}]",[],1
2026-05-28,210,INRB-UMIE upstream,17,349,210,17,349,559,,,[],"[{'field': 'suspected_cases', 'from': 906, 'to': 349, 'delta': -557, 'type': 'reclassification', 'date': '2026-05-28'}, {'field': 'total_cases', 'from': 1031, 'to': 559, 'delta': -472, 'type': 'reclassification', 'date': '2026-05-28'}]",[],1
2026-05-29,263,INRB-UMIE upstream,42,349,263,42,349,612,,,[],[],[],2
2026-05-30,282,INRB-UMIE upstream,42,321,282,42,321,603,,,[],"[{'field': 'suspected_cases', 'from': 349, 'to': 321, 'delta': -28, 'type': 'reclassification', 'date': '2026-05-30'}, {'field': 'total_cases', 'from': 612, 'to': 603, 'delta': -9, 'type': 'reclassification', 'date': '2026-05-30'}]",[],2
2026-05-31,321,INRB-UMIE upstream,48,220,321,48,220,541,,,[],"[{'field': 'suspected_cases', 'from': 321, 'to': 220, 'delta': -101, 'type': 'reclassification', 'date': '2026-05-31'}, {'field': 'total_cases', 'from': 603, 'to': 541, 'delta': -62, 'type': 'reclassification', 'date': '2026-05-31'}]",[],6
2026-06-01,344,INRB-UMIE upstream,60,289,344,60,289,633,,,[],[],[],6
2026-06-02,363,INRB-UMIE upstream,62,206,363,62,206,569,,,[],"[{'field': 'suspected_cases', 'from': 289, 'to': 206, 'delta': -83, 'type': 'reclassification', 'date': '2026-06-02'}, {'field': 'total_cases', 'from': 633, 'to': 569, 'delta': -64, 'type': 'reclassification', 'date': '2026-06-02'}]",[],6
2026-06-03,381,INRB-UMIE upstream,64,,381,64,,381,,,[],"[{'field': 'total_cases', 'from': 569, 'to': 381, 'delta': -188, 'type': 'reclassification', 'date': '2026-06-03'}]",[],7
2026-06-04,452,INRB-UMIE upstream,82,153,452,82,153,605,,,[],[],[],8
