health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,626,358,268,82,57,715169,87.5,10,2026-06-29,INSP SitRep via INRB-UMIE
Mongbalu,604,258,346,123,88,159147,379.5,2,2026-06-29,INSP SitRep via INRB-UMIE
Rwampara,536,295,241,60,71,61295,874.5,0,2026-06-29,INSP SitRep via INRB-UMIE
Nyakunde,146,94,52,15,12,94513,154.5,2,2026-06-29,INSP SitRep via INRB-UMIE
Katwa,58,45,13,27,0,621981,9.3,0,2026-06-29,INSP SitRep via INRB-UMIE
Nizi,47,41,6,9,2,146119,32.2,0,2026-06-29,INSP SitRep via INRB-UMIE
Butembo,41,34,7,14,0,286962,14.3,2,2026-06-29,INSP SitRep via INRB-UMIE
Bambu,30,16,14,4,3,142110,21.1,0,2026-06-29,INSP SitRep via INRB-UMIE
Lita,29,29,0,9,0,91650,31.6,0,2026-06-29,INSP SitRep via INRB-UMIE
Mangala,24,24,0,12,0,82616,29.1,1,2026-06-29,INSP SitRep via INRB-UMIE
Beni,22,22,0,14,0,231984,9.5,2,2026-06-29,INSP SitRep via INRB-UMIE
Kilo,17,9,8,1,2,38314,44.4,0,2026-06-29,INSP SitRep via INRB-UMIE
NA,17,17,0,0,0,0,,0,2026-06-29,INSP SitRep via INRB-UMIE
Komanda,16,16,0,5,0,222355,7.2,1,2026-06-29,INSP SitRep via INRB-UMIE
Kalunguta,15,2,13,1,0,254340,5.9,0,2026-06-29,INSP SitRep via INRB-UMIE
Tchomia,13,13,0,2,0,64496,20.2,1,2026-06-29,INSP SitRep via INRB-UMIE
Nia-Nia,11,11,0,5,0,85262,12.9,0,2026-06-29,INSP SitRep via INRB-UMIE
Aru,7,3,4,1,1,307811,2.3,2,2026-06-29,INSP SitRep via INRB-UMIE
Logo,7,7,0,0,0,154126,4.5,0,2026-06-29,INSP SitRep via INRB-UMIE
Aungba,6,6,0,2,0,229697,2.6,0,2026-06-29,INSP SitRep via INRB-UMIE
Damas,6,5,1,0,0,88590,6.8,0,2026-06-29,INSP SitRep via INRB-UMIE
Gethy,4,1,3,0,0,171770,2.3,0,2026-06-29,INSP SitRep via INRB-UMIE
Miti-Murhesa,4,3,1,1,0,265959,1.5,0,2026-06-29,INSP SitRep via INRB-UMIE
Drodro,3,3,0,3,0,210812,1.4,1,2026-06-29,INSP SitRep via INRB-UMIE
Kyondo,3,3,0,2,0,493964,0.6,0,2026-06-29,INSP SitRep via INRB-UMIE
Musienene,3,3,0,2,0,234680,1.3,0,2026-06-29,INSP SitRep via INRB-UMIE
Oicha,3,3,0,2,0,276791,1.1,0,2026-06-29,INSP SitRep via INRB-UMIE
Rimba,3,3,0,0,0,174926,1.7,1,2026-06-29,INSP SitRep via INRB-UMIE
Jiba,2,0,2,0,0,71960,2.8,1,2026-06-29,INSP SitRep via INRB-UMIE
Mambasa,2,2,0,1,0,164109,1.2,0,2026-06-29,INSP SitRep via INRB-UMIE
Fataki,1,1,0,0,0,150055,0.7,1,2026-06-29,INSP SitRep via INRB-UMIE
Goma,1,1,0,0,0,277156,0.4,2,2026-06-29,INSP SitRep via INRB-UMIE
Kambala,1,1,0,1,0,132028,0.8,1,2026-06-29,INSP SitRep via INRB-UMIE
Mabalako,1,1,0,0,0,253373,0.4,0,2026-06-29,INSP SitRep via INRB-UMIE
Mandima,1,1,0,0,0,274950,0.4,0,2026-06-29,INSP SitRep via INRB-UMIE
Masereka,1,1,0,0,0,145642,0.7,0,2026-06-29,INSP SitRep via INRB-UMIE
Vuhovi,1,1,0,1,0,256878,0.4,0,2026-06-29,INSP SitRep via INRB-UMIE
Karisimbi,0,0,0,0,0,583594,,0,2026-06-29,INSP SitRep via INRB-UMIE
Manguredjipa,0,0,0,0,0,60156,,0,2026-06-29,INSP SitRep via INRB-UMIE
