health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,1462,1194,268,372,57,509060,287.2,10,2026-08-17,INSP SitRep via INRB-UMIE
Rwampara,1104,863,241,332,71,252324,437.5,0,2026-08-17,INSP SitRep via INRB-UMIE
Mongbalu,937,591,346,282,88,157714,594.1,0,2026-08-17,INSP SitRep via INRB-UMIE
Nizi,549,543,6,240,2,129697,423.3,0,2026-08-17,INSP SitRep via INRB-UMIE
Katwa,319,306,13,199,0,612242,52.1,0,2026-08-17,INSP SitRep via INRB-UMIE
Lita,183,183,0,104,0,113364,161.4,0,2026-08-17,INSP SitRep via INRB-UMIE
Nia Nia,175,175,0,103,0,91756,190.7,0,2026-08-17,INSP SitRep via INRB-UMIE
Nyakunde,172,120,52,35,12,94004,183.0,0,2026-08-17,INSP SitRep via INRB-UMIE
Mangala,165,165,0,92,0,89713,183.9,1,2026-08-17,INSP SitRep via INRB-UMIE
Bambu,126,112,14,26,3,136151,92.5,0,2026-08-17,INSP SitRep via INRB-UMIE
Butembo,125,118,7,96,0,289378,43.2,2,2026-08-17,INSP SitRep via INRB-UMIE
Beni,96,96,0,71,0,428854,22.4,2,2026-08-17,INSP SitRep via INRB-UMIE
Fataki,71,71,0,30,0,158032,44.9,1,2026-08-17,INSP SitRep via INRB-UMIE
Musienene,63,63,0,35,0,348392,18.1,0,2026-08-17,INSP SitRep via INRB-UMIE
Wamba,53,53,0,20,0,224757,23.6,0,2026-08-17,INSP SitRep via INRB-UMIE
Komanda,51,51,0,35,0,219948,23.2,1,2026-08-17,INSP SitRep via INRB-UMIE
Tchomia,49,49,0,25,0,83917,58.4,1,2026-08-17,INSP SitRep via INRB-UMIE
Isiro,42,42,0,19,0,512401,8.2,0,2026-08-17,INSP SitRep via INRB-UMIE
Kilo,39,31,8,12,2,43139,90.4,0,2026-08-17,INSP SitRep via INRB-UMIE
Kalunguta,25,12,13,5,0,191732,13.0,0,2026-08-17,INSP SitRep via INRB-UMIE
Damas,24,23,1,9,0,94820,25.3,0,2026-08-17,INSP SitRep via INRB-UMIE
Boma Mangbetu,23,23,0,8,0,230104,10.0,0,2026-08-17,INSP SitRep via INRB-UMIE
Mandima,23,23,0,14,0,286637,8.0,0,2026-08-17,INSP SitRep via INRB-UMIE
Pawa,19,19,0,14,0,301768,6.3,0,2026-08-17,INSP SitRep via INRB-UMIE
NA,17,17,0,0,0,0,,0,2026-08-17,INSP SitRep via INRB-UMIE
Kyondo,15,15,0,12,0,270344,5.5,0,2026-08-17,INSP SitRep via INRB-UMIE
Lolwa,15,15,0,4,0,41314,36.3,0,2026-08-17,INSP SitRep via INRB-UMIE
Mambasa,14,14,0,7,0,150807,9.3,0,2026-08-17,INSP SitRep via INRB-UMIE
Drodro,13,13,0,6,0,199996,6.5,1,2026-08-17,INSP SitRep via INRB-UMIE
Adja,11,11,0,1,0,126933,8.7,0,2026-08-17,INSP SitRep via INRB-UMIE
Aru,11,7,4,6,1,329667,3.3,2,2026-08-17,INSP SitRep via INRB-UMIE
Aungba,11,11,0,5,0,216787,5.1,0,2026-08-17,INSP SitRep via INRB-UMIE
Logo,11,11,0,5,0,216944,5.1,0,2026-08-17,INSP SitRep via INRB-UMIE
Rimba,9,9,0,4,0,222282,4.0,1,2026-08-17,INSP SitRep via INRB-UMIE
Ariwara,8,8,0,2,0,314730,2.5,0,2026-08-17,INSP SitRep via INRB-UMIE
Gety,8,5,3,2,0,143442,5.6,0,2026-08-17,INSP SitRep via INRB-UMIE
Masereka,7,7,0,4,0,298636,2.3,0,2026-08-17,INSP SitRep via INRB-UMIE
Oicha,6,6,0,4,0,274998,2.2,0,2026-08-17,INSP SitRep via INRB-UMIE
Mahagi,4,4,0,1,0,247893,1.6,2,2026-08-17,INSP SitRep via INRB-UMIE
Makiso Kisangani,4,4,0,3,0,535798,0.7,0,2026-08-17,INSP SitRep via INRB-UMIE
Miti Murhesa,4,3,1,1,0,303983,1.3,0,2026-08-17,INSP SitRep via INRB-UMIE
Vuhovi,4,4,0,2,0,151953,2.6,0,2026-08-17,INSP SitRep via INRB-UMIE
Kabondo,3,3,0,2,0,204629,1.5,0,2026-08-17,INSP SitRep via INRB-UMIE
Jiba,2,0,2,0,0,75957,2.6,1,2026-08-17,INSP SitRep via INRB-UMIE
Kambala,2,2,0,0,0,140956,1.4,1,2026-08-17,INSP SitRep via INRB-UMIE
Mabalako,2,2,0,1,0,197136,1.0,0,2026-08-17,INSP SitRep via INRB-UMIE
Mangobo,2,2,0,1,0,188652,1.1,0,2026-08-17,INSP SitRep via INRB-UMIE
Bafwasende,1,1,0,0,0,132264,0.8,0,2026-08-17,INSP SitRep via INRB-UMIE
Boga,1,1,0,1,0,72028,1.4,1,2026-08-17,INSP SitRep via INRB-UMIE
Buta,1,1,0,1,0,274964,0.4,0,2026-08-17,INSP SitRep via INRB-UMIE
Goma,1,1,0,0,0,282838,0.4,2,2026-08-17,INSP SitRep via INRB-UMIE
Gombari,1,1,0,1,0,122901,0.8,0,2026-08-17,INSP SitRep via INRB-UMIE
Lubero,1,1,0,1,0,377506,0.3,0,2026-08-17,INSP SitRep via INRB-UMIE
Lubunga (Tshopo),1,1,0,0,0,154712,0.6,0,2026-08-17,INSP SitRep via INRB-UMIE
Rungu,1,1,0,0,0,194804,0.5,0,2026-08-17,INSP SitRep via INRB-UMIE
Tshopo,1,1,0,0,0,172885,0.6,0,2026-08-17,INSP SitRep via INRB-UMIE
Wanierukula,1,1,0,0,0,155297,0.6,0,2026-08-17,INSP SitRep via INRB-UMIE
Karisimbi,0,0,0,0,0,403401,,0,2026-08-17,INSP SitRep via INRB-UMIE
Manguredjipa,0,0,0,0,0,68014,,0,2026-08-17,INSP SitRep via INRB-UMIE
