health_zone,total_cases,confirmed_cases,suspected_cases,confirmed_deaths,suspected_deaths,population_worldpop,attack_rate_per_100k,pcr_machines,data_date,source
Bunia,907,639,268,211,57,509060,178.2,10,2026-07-19,INSP SitRep via INRB-UMIE
Mongbalu,709,363,346,203,88,157714,449.5,0,2026-07-19,INSP SitRep via INRB-UMIE
Rwampara,691,450,241,133,71,252324,273.9,0,2026-07-19,INSP SitRep via INRB-UMIE
Nizi,220,214,6,93,2,129697,169.6,0,2026-07-19,INSP SitRep via INRB-UMIE
Nyakunde,151,99,52,28,12,94004,160.6,0,2026-07-19,INSP SitRep via INRB-UMIE
Katwa,117,104,13,72,0,612242,19.1,0,2026-07-19,INSP SitRep via INRB-UMIE
Lita,78,78,0,27,0,113364,68.8,0,2026-07-19,INSP SitRep via INRB-UMIE
Butembo,65,58,7,30,0,289378,22.5,2,2026-07-19,INSP SitRep via INRB-UMIE
Mangala,61,61,0,38,0,89713,68.0,1,2026-07-19,INSP SitRep via INRB-UMIE
Bambu,54,40,14,14,3,136151,39.7,0,2026-07-19,INSP SitRep via INRB-UMIE
Nia Nia,51,51,0,15,0,91756,55.6,0,2026-07-19,INSP SitRep via INRB-UMIE
Beni,37,37,0,25,0,428854,8.6,2,2026-07-19,INSP SitRep via INRB-UMIE
Komanda,27,27,0,10,0,219948,12.3,1,2026-07-19,INSP SitRep via INRB-UMIE
Tchomia,23,23,0,6,0,83917,27.4,1,2026-07-19,INSP SitRep via INRB-UMIE
Kilo,19,11,8,3,2,43139,44.0,0,2026-07-19,INSP SitRep via INRB-UMIE
Musienene,19,19,0,5,0,348392,5.5,0,2026-07-19,INSP SitRep via INRB-UMIE
NA,17,17,0,0,0,0,,0,2026-07-19,INSP SitRep via INRB-UMIE
Kalunguta,15,2,13,1,0,191732,7.8,0,2026-07-19,INSP SitRep via INRB-UMIE
Fataki,11,11,0,7,0,158032,7.0,1,2026-07-19,INSP SitRep via INRB-UMIE
Adja,10,10,0,1,0,126933,7.9,0,2026-07-19,INSP SitRep via INRB-UMIE
Kyondo,9,9,0,4,0,270344,3.3,0,2026-07-19,INSP SitRep via INRB-UMIE
Mandima,9,9,0,4,0,286637,3.1,0,2026-07-19,INSP SitRep via INRB-UMIE
Aru,8,4,4,1,1,329667,2.4,2,2026-07-19,INSP SitRep via INRB-UMIE
Damas,8,7,1,0,0,94820,8.4,0,2026-07-19,INSP SitRep via INRB-UMIE
Logo,8,8,0,1,0,216944,3.7,0,2026-07-19,INSP SitRep via INRB-UMIE
Mambasa,8,8,0,6,0,150807,5.3,0,2026-07-19,INSP SitRep via INRB-UMIE
Ariwara,7,7,0,1,0,314730,2.2,0,2026-07-19,INSP SitRep via INRB-UMIE
Aungba,6,6,0,2,0,216787,2.8,0,2026-07-19,INSP SitRep via INRB-UMIE
Wamba,6,6,0,3,0,224757,2.7,0,2026-07-19,INSP SitRep via INRB-UMIE
Drodro,5,5,0,3,0,199996,2.5,1,2026-07-19,INSP SitRep via INRB-UMIE
Rimba,5,5,0,0,0,222282,2.2,1,2026-07-19,INSP SitRep via INRB-UMIE
Boma Mangbetu,4,4,0,2,0,230104,1.7,0,2026-07-19,INSP SitRep via INRB-UMIE
Gety,4,1,3,0,0,143442,2.8,0,2026-07-19,INSP SitRep via INRB-UMIE
Miti Murhesa,4,3,1,1,0,303983,1.3,0,2026-07-19,INSP SitRep via INRB-UMIE
Oicha,4,4,0,3,0,274998,1.5,0,2026-07-19,INSP SitRep via INRB-UMIE
Isiro,3,3,0,2,0,512401,0.6,0,2026-07-19,INSP SitRep via INRB-UMIE
Makiso Kisangani,3,3,0,3,0,535798,0.6,0,2026-07-19,INSP SitRep via INRB-UMIE
Masereka,3,3,0,0,0,298636,1.0,0,2026-07-19,INSP SitRep via INRB-UMIE
Pawa,3,3,0,3,0,301768,1.0,0,2026-07-19,INSP SitRep via INRB-UMIE
Jiba,2,0,2,0,0,75957,2.6,1,2026-07-19,INSP SitRep via INRB-UMIE
Kambala,2,2,0,2,0,140956,1.4,1,2026-07-19,INSP SitRep via INRB-UMIE
Lolwa,2,2,0,1,0,41314,4.8,0,2026-07-19,INSP SitRep via INRB-UMIE
Boga,1,1,0,1,0,72028,1.4,1,2026-07-19,INSP SitRep via INRB-UMIE
Goma,1,1,0,0,0,282838,0.4,2,2026-07-19,INSP SitRep via INRB-UMIE
Lubunga (Tshopo),1,1,0,0,0,154712,0.6,0,2026-07-19,INSP SitRep via INRB-UMIE
Mabalako,1,1,0,0,0,197136,0.5,0,2026-07-19,INSP SitRep via INRB-UMIE
Mahagi,1,1,0,0,0,247893,0.4,2,2026-07-19,INSP SitRep via INRB-UMIE
Mangobo,1,1,0,1,0,188652,0.5,0,2026-07-19,INSP SitRep via INRB-UMIE
Vuhovi,1,1,0,1,0,151953,0.7,0,2026-07-19,INSP SitRep via INRB-UMIE
Karisimbi,0,0,0,0,0,403401,,0,2026-07-19,INSP SitRep via INRB-UMIE
Manguredjipa,0,0,0,0,0,68014,,0,2026-07-19,INSP SitRep via INRB-UMIE
